Agency Case Number,Report Date,Time of Crime,Occur Begin Day,Occur Begin Date,Occur Begin Time,Occur End Day,Occur End Date,Occur End Time,Crime Class,Incident Type,UCR,Long ID,Crime Attempt,Class Description,Last 30 Days,Neighborhood Association,Neighborhood,X,Y,ZIPCODE
APD*22130261,09/10/2022 12:00:00 AM,6,SAT,09/10/2022 12:00:00 AM,6:40,SAT,09/10/2022 12:00:00 AM,6:43,PL,ASLT W/INT CAUSE PH INJ W/WEAP,4,1200502DF2,No,,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22057695,04/30/2022 12:00:00 AM,12,SAT,04/30/2022 12:00:00 AM,12:40,SAT,04/30/2022 12:00:00 AM,12:46,PL,CPW-2ND: LOADED FIREARM,11,2650303CF2,No,PERSON,FALSE,Arbor Hill Concerned Citizens,POINT,-73.75322583,42.66222004,12207
APD*22023863,02/19/2022 12:00:00 AM,14,SAT,02/19/2022 12:00:00 AM,14:25,SAT,02/19/2022 12:00:00 AM,14:35,PL,HARASSMENT 2ND,33,24026030V2,No,PERSON,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22051945,04/18/2022 12:00:00 AM,17,MON,04/18/2022 12:00:00 AM,17:05,MON,04/18/2022 12:00:00 AM,17:11,PL,GRAND LARCENY 3 VALUE GREATER THAN $3000,7,1553500DF3,No,MOTOR VEHICLE THEFT,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22130588,09/10/2022 12:00:00 AM,5,SAT,09/10/2022 12:00:00 AM,5:00,SAT,09/10/2022 12:00:00 AM,5:30,PL,GRAND LARCENY 3 VALUE GREATER THAN $3000,7,1553500DF3,No,MOTOR VEHICLE THEFT,FALSE,Beverwyck,POINT,-73.78222713,42.67006294,12206
APD*22009642,01/21/2022 12:00:00 AM,17,THU,01/20/2022 12:00:00 AM,17:00,FRI,01/21/2022 12:00:00 AM,9:00,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,West End,POINT,-73.77810409,42.67496958,12206
APD*22044361,04/03/2022 12:00:00 AM,12,SUN,04/03/2022 12:00:00 AM,12:00,SUN,04/03/2022 12:00:00 AM,13:00,PL,HARASSMENT 2ND,33,24026030V2,No,PERSON,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22062455,05/10/2022 12:00:00 AM,1,TUE,05/10/2022 12:00:00 AM,1:10,TUE,05/10/2022 12:00:00 AM,1:15,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22023985,02/19/2022 12:00:00 AM,19,SAT,02/19/2022 12:00:00 AM,19:03,SAT,02/19/2022 12:00:00 AM,19:03,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM BUILDING,FALSE,Beverwyck,POINT,-73.78222713,42.67006294,12206
APD*22009959,01/21/2022 12:00:00 AM,13,SAT,01/15/2022 12:00:00 AM,13:30,SUN,01/16/2022 12:00:00 AM,10:00,PL,GR LAR 4-VALUE PROPERTY GREATER THAN $1000,6,1553001EF4,No,THEFT FROM BUILDING,FALSE,Delaware Area,POINT,-73.78088741,42.63990609,12209
APD*22149842,10/16/2022 12:00:00 AM,11,SUN,10/16/2022 12:00:00 AM,11:45,SUN,10/16/2022 12:00:00 AM,12:00,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,TRUE,Upper Washington Avenue,POINT,-73.79858973,42.68173914,12206
APD*22009461,01/20/2022 12:00:00 AM,18,THU,01/20/2022 12:00:00 AM,18:00,THU,01/20/2022 12:00:00 AM,18:30,PL,HARRASSMENT 2ND-FOLLOW PERSON,33,24026020V2,No,,FALSE,Sheridan Hollow,POINT,-73.75740728,42.65668958,12210
APD*22023845,02/19/2022 12:00:00 AM,11,SAT,02/19/2022 12:00:00 AM,11:00,SAT,02/19/2022 12:00:00 AM,12:00,PL,OBSTRUCTION BREATHING/BLOOD CIRCULATION-APPLY PRESSURE,24,121110AAM0,No,UNKNOWN,FALSE,Arbor Hill Concerned Citizens,POINT,-73.75322583,42.66222004,12207
APD*22043793,04/02/2022 12:00:00 AM,3,SAT,04/02/2022 12:00:00 AM,3:50,SAT,04/02/2022 12:00:00 AM,4:00,PL,DISOBEY MANDATE EXC  JL 753A-2,33,2155003AM2,No,NOT APPLICABLE,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22063276,05/11/2022 12:00:00 AM,12,MON,05/09/2022 12:00:00 AM,12:30,MON,05/09/2022 12:00:00 AM,13:30,PL,GRAND LARCENY 4  CREDIT CARD,6,1553004EF4,No,THEFT FROM BUILDING,FALSE,Park South,POINT,-73.77321917,42.65419738,12208
APD*22061458,05/08/2022 12:00:00 AM,2,SUN,05/08/2022 12:00:00 AM,2:35,SUN,05/08/2022 12:00:00 AM,2:37,PL,ASLT W/INT CAUSE PH INJ W/WEAP,4,1200502DF2,No,,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22062517,05/10/2022 12:00:00 AM,4,TUE,05/10/2022 12:00:00 AM,4:35,TUE,05/10/2022 12:00:00 AM,4:40,PL,CRIMINAL MISCHIEF 3RD:DAMAGE ANOTHER'S PROPERTY-AMOUNT> $250,19,1450502EF3,No,,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22104141,07/24/2022 12:00:00 AM,22,SUN,07/24/2022 12:00:00 AM,22:00,SUN,07/24/2022 12:00:00 AM,22:30,PL,GRAND LARCENY 3RD DEGREE: PROPERTY VALUE EXCEEDS $3000,6,1553501DF3,No,THEFT FROM BUILDING,FALSE,No. Albany / Shaker Park,POINT,-73.7452875,42.67282699,12204
APD*22099080,07/15/2022 12:00:00 AM,16,FRI,07/15/2022 12:00:00 AM,16:30,FRI,07/15/2022 12:00:00 AM,17:30,PL,GR LAR 4-VALUE PROPERTY GREATER THAN $1000,6,1553001EF4,No,THEFT FROM MOTOR VEHICLE,FALSE,Downtown,POINT,-73.75323798,42.64956228,12210
APD*22007997,01/18/2022 12:00:00 AM,0,SUN,01/16/2022 12:00:00 AM,0:20,TUE,01/18/2022 12:00:00 AM,4:40,PL,HARASSMENT 2ND,33,24026030V2,No,PERSON,FALSE,Ten Broeck Triangle Preservation League,POINT,-73.75119995,42.65693726,12210
APD*22024083,02/19/2022 12:00:00 AM,22,SAT,02/19/2022 12:00:00 AM,22:00,SAT,02/19/2022 12:00:00 AM,22:00,PL,AGG HARASSMENT-2:PHONE/TELEGRAPH/WRITE/PERSON TO ANNOY/ALARM,24,240301AAM2,No,PERSON,FALSE,Sheridan Hollow,POINT,-73.75740728,42.65668958,12210
APD*22043831,04/02/2022 12:00:00 AM,8,SAT,04/02/2022 12:00:00 AM,8:26,SAT,04/02/2022 12:00:00 AM,8:26,PL,ASLT  RECKLSLY CAUSE PHYS INJRY,24,1200002AM3,No,PERSON DOM VIOLENCE,FALSE,West End,POINT,-73.77810409,42.67496958,12206
APD*22061536,05/08/2022 12:00:00 AM,9,SUN,05/08/2022 12:00:00 AM,9:00,SUN,05/08/2022 12:00:00 AM,9:10,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,Park South,POINT,-73.77321917,42.65419738,12208
APD*22023792,02/19/2022 12:00:00 AM,11,SAT,02/19/2022 12:00:00 AM,11:00,SAT,02/19/2022 12:00:00 AM,11:25,PL,PETIT LARCENY,6,1552500AM0,Yes,SHOPLIFTING,FALSE,Upper Washington Avenue,POINT,-73.79858973,42.68173914,12206
APD*22046795,04/08/2022 12:00:00 AM,8,FRI,04/08/2022 12:00:00 AM,8:30,FRI,04/08/2022 12:00:00 AM,8:35,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON,FALSE,Downtown,POINT,-73.75323798,42.64956228,12210
APD*22056580,04/28/2022 12:00:00 AM,22,WED,04/27/2022 12:00:00 AM,22:05,WED,04/27/2022 12:00:00 AM,22:15,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22063301,05/11/2022 12:00:00 AM,16,TUE,05/10/2022 12:00:00 AM,16:00,WED,05/11/2022 12:00:00 AM,9:00,PL,CRIMINAL MISCHIEF 3RD: DAMAGE THE MOTOR VEHICLE OF ANOTHER,19,1450501EF3,No,,FALSE,Campus Area,POINT,-73.81902016,42.68480321,12203
APD*22062776,05/10/2022 12:00:00 AM,16,TUE,05/10/2022 12:00:00 AM,16:00,TUE,05/10/2022 12:00:00 AM,16:04,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON,FALSE,Melrose,POINT,-73.79907962,42.67270063,12203
APD*22023940,02/19/2022 12:00:00 AM,0,SAT,02/19/2022 12:00:00 AM,0:00,SAT,02/19/2022 12:00:00 AM,0:30,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM BUILDING,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22061954,05/09/2022 12:00:00 AM,0,MON,05/09/2022 12:00:00 AM,0:00,MON,05/09/2022 12:00:00 AM,2:00,PL,CPW-2ND: LOADED FIREARM,11,2650303CF2,No,PERSON,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22031035,03/06/2022 12:00:00 AM,17,SUN,03/06/2022 12:00:00 AM,17:00,SUN,03/06/2022 12:00:00 AM,17:00,PL,CRIMINAL TRESPASS 2ND,33,1401501AM2,No,PART 2 OFFENSE,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22057772,04/30/2022 12:00:00 AM,23,THU,04/28/2022 12:00:00 AM,23:50,FRI,04/29/2022 12:00:00 AM,12:05,PL,ASLT W/INT CAUSE PH INJ W/WEAP,4,1200502DF2,No,,FALSE,Washington Park,POINT,-73.77088465,42.65723655,12202
APD*22098778,07/15/2022 12:00:00 AM,9,FRI,07/15/2022 12:00:00 AM,9:00,FRI,07/15/2022 12:00:00 AM,9:10,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON,FALSE,No. Albany / Shaker Park,POINT,-73.7452875,42.67282699,12204
APD*22084365,06/18/2022 12:00:00 AM,21,SAT,06/18/2022 12:00:00 AM,21:15,SAT,06/18/2022 12:00:00 AM,21:15,PL,DISOBEY MANDATE EXC  JL 753A-2,33,2155003AM2,No,PERSON DOM VIOLENCE,FALSE,Delaware Area,POINT,-73.78088741,42.63990609,12209
APD*22084303,06/18/2022 12:00:00 AM,18,SAT,06/18/2022 12:00:00 AM,18:10,SAT,06/18/2022 12:00:00 AM,18:11,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22102171,07/21/2022 12:00:00 AM,15,THU,07/14/2022 12:00:00 AM,15:00,THU,07/21/2022 12:00:00 AM,11:59,PL,MAKING GRAFFITI,19,1456002AM0,No,,FALSE,Upper Washington Avenue,POINT,-73.79858973,42.68173914,12206
APD*22070424,05/24/2022 12:00:00 AM,16,TUE,05/24/2022 12:00:00 AM,16:15,TUE,05/24/2022 12:00:00 AM,16:20,PL,UNLAW POSSESS NOXIOUS MATTER,33,2700502BM0,No,,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22023661,02/19/2022 12:00:00 AM,19,FRI,02/18/2022 12:00:00 AM,19:00,SAT,02/19/2022 12:00:00 AM,2:00,PL,CRIMINAL MISCHIEF 3RD: DAMAGE THE MOTOR VEHICLE OF ANOTHER,19,1450501EF3,No,,FALSE,Delaware Area,POINT,-73.78088741,42.63990609,12209
APD*22098883,07/15/2022 12:00:00 AM,10,FRI,07/15/2022 12:00:00 AM,10:00,FRI,07/15/2022 12:00:00 AM,12:30,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM BUILDING,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22098817,07/15/2022 12:00:00 AM,9,FRI,07/15/2022 12:00:00 AM,9:39,FRI,07/15/2022 12:00:00 AM,10:45,PL,PETIT LARCENY,6,1552500AM0,No,ALL OTHER LARCENIES,FALSE,West End,POINT,-73.77810409,42.67496958,12206
APD*21171673,12/19/2021 12:00:00 AM,3,SUN,12/19/2021 12:00:00 AM,3:45,SUN,12/19/2021 12:00:00 AM,5:38,PL,CRIM POSS WEAP W/INT TO USE,11,2650102AM4,No,,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22070525,05/24/2022 12:00:00 AM,13,TUE,05/24/2022 12:00:00 AM,13:00,TUE,05/24/2022 12:00:00 AM,13:00,PL,ASLT W/INT CAUSE PH INJ W/WEAP,4,1200502DF2,No,,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22148829,10/14/2022 12:00:00 AM,8,WED,10/12/2022 12:00:00 AM,8:00,FRI,10/14/2022 12:00:00 AM,14:18,PL,BURGLARY 3RD,5,1402000DF3,No,,TRUE,Beverwyck,POINT,-73.78222713,42.67006294,12206
APD*22009326,01/20/2022 12:00:00 AM,12,WED,01/19/2022 12:00:00 AM,12:00,WED,01/19/2022 12:00:00 AM,13:00,PL,ASLT W/INT CAUSES PHYS INJURY,24,1200001AM3,No,PERSON,FALSE,No. Albany / Shaker Park,POINT,-73.7452875,42.67282699,12204
APD*22057814,04/30/2022 12:00:00 AM,18,SAT,04/30/2022 12:00:00 AM,18:01,SAT,04/30/2022 12:00:00 AM,18:01,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM BUILDING,FALSE,No. Albany / Shaker Park,POINT,-73.7452875,42.67282699,12204
APD*22057493,04/30/2022 12:00:00 AM,1,SAT,04/30/2022 12:00:00 AM,1:38,SAT,04/30/2022 12:00:00 AM,1:38,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON DOM VIOLENCE,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22038506,03/22/2022 12:00:00 AM,11,TUE,03/22/2022 12:00:00 AM,11:00,TUE,03/22/2022 12:00:00 AM,11:10,PL,TRESPASS,33,14005000V0,No,PART 2 OFFENSE,FALSE,Historic Pastures Homeowners Association,POINT,-73.75410644,42.64391573,12202
APD*22130962,09/10/2022 12:00:00 AM,14,FRI,09/09/2022 12:00:00 AM,14:44,FRI,09/09/2022 12:00:00 AM,14:50,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON,FALSE,Downtown,POINT,-73.75323798,42.64956228,12210
APD*22057894,04/30/2022 12:00:00 AM,20,SAT,04/30/2022 12:00:00 AM,20:34,SAT,04/30/2022 12:00:00 AM,23:40,PL,PETIT LARCENY,6,1552500AM0,No,ALL OTHER LARCENIES,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22070530,05/24/2022 12:00:00 AM,10,MON,05/23/2022 12:00:00 AM,10:00,MON,05/23/2022 12:00:00 AM,15:00,PL,PETIT LARCENY,6,1552500AM0,No,ALL OTHER LARCENIES,FALSE,Delaware Area,POINT,-73.78088741,42.63990609,12209
APD*22086021,06/22/2022 12:00:00 AM,19,TUE,06/21/2022 12:00:00 AM,19:30,TUE,06/21/2022 12:00:00 AM,19:30,PL,OBSTRUCTION BREATHING/BLOOD CIRCULATION-APPLY PRESSURE,24,121110AAM0,No,UNKNOWN,FALSE,Hudson Park,POINT,-73.76602553,42.65100307,12210
APD*22090073,06/29/2022 12:00:00 AM,12,WED,06/29/2022 12:00:00 AM,12:00,WED,06/29/2022 12:00:00 AM,12:00,PL,AGG/HAR INTENT HARASS ANNOY/ COMM. ANNON,999,2403001AAM2,No,PERSON,FALSE,Sheridan Hollow,POINT,-73.75740728,42.65668958,12210
APD*22089702,06/29/2022 12:00:00 AM,5,WED,06/29/2022 12:00:00 AM,5:30,WED,06/29/2022 12:00:00 AM,5:35,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,No. Albany / Shaker Park,POINT,-73.7452875,42.67282699,12204
APD*22089765,06/29/2022 12:00:00 AM,20,TUE,06/28/2022 12:00:00 AM,20:00,WED,06/29/2022 12:00:00 AM,8:00,PL,CRIMINAL MISCHIEF - 2ND,19,1451000DF2,No,,FALSE,Beverwyck,POINT,-73.78222713,42.67006294,12206
APD*22070298,05/24/2022 12:00:00 AM,19,MON,05/23/2022 12:00:00 AM,19:22,MON,05/23/2022 12:00:00 AM,19:26,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,The Dunes,POINT,-73.86321786,42.7057702,12203
APD*22057871,04/30/2022 12:00:00 AM,15,SAT,04/30/2022 12:00:00 AM,15:00,SAT,04/30/2022 12:00:00 AM,19:00,PL,CRIMINAL MISCHIEF 3RD:DAMAGE ANOTHER'S PROPERTY-AMOUNT> $250,19,1450502EF3,No,,FALSE,Beverwyck,POINT,-73.78222713,42.67006294,12206
APD*21174349,12/25/2021 12:00:00 AM,2,SAT,12/25/2021 12:00:00 AM,2:33,SAT,12/25/2021 12:00:00 AM,2:33,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON DOM VIOLENCE,FALSE,Park South,POINT,-73.77321917,42.65419738,12208
APD*22098994,07/15/2022 12:00:00 AM,15,FRI,07/15/2022 12:00:00 AM,15:30,FRI,07/15/2022 12:00:00 AM,16:00,PL,ASLT W/INT CAUSE PH INJ W/WEAP,4,1200502DF2,No,,FALSE,No. Albany / Shaker Park,POINT,-73.7452875,42.67282699,12204
APD*21168076,12/11/2021 12:00:00 AM,20,SAT,12/11/2021 12:00:00 AM,20:39,SAT,12/11/2021 12:00:00 AM,20:39,PL,CRIMINAL MISCHIEF 3RD:DAMAGE ANOTHER'S PROPERTY-AMOUNT> $250,19,1450502EF3,No,,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22038594,03/22/2022 12:00:00 AM,13,TUE,03/22/2022 12:00:00 AM,13:39,TUE,03/22/2022 12:00:00 AM,13:39,PL,FALSELY REPRT TO LAW ENFORCEMNT AN INCIDENT THAT DIDNT OCCUR,33,240503AAM3,No,,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22061765,05/08/2022 12:00:00 AM,20,SUN,05/08/2022 12:00:00 AM,20:00,SUN,05/08/2022 12:00:00 AM,20:35,PL,GRAND LARCENY 3 VALUE GREATER THAN $3000,7,1553500DF3,No,MOTOR VEHICLE THEFT,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22046755,04/08/2022 12:00:00 AM,11,FRI,04/08/2022 12:00:00 AM,11:00,FRI,04/08/2022 12:00:00 AM,11:00,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22057941,04/30/2022 12:00:00 AM,23,SAT,04/30/2022 12:00:00 AM,23:37,SAT,04/30/2022 12:00:00 AM,23:37,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM BUILDING,FALSE,West End,POINT,-73.77810409,42.67496958,12206
APD*21174531,12/25/2021 12:00:00 AM,16,SAT,12/25/2021 12:00:00 AM,16:50,SAT,12/25/2021 12:00:00 AM,16:50,PL,DISOBEY MANDATE EXC  JL 753A-2,33,2155003AM2,No,PERSON DOM VIOLENCE,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22023638,02/19/2022 12:00:00 AM,0,SAT,02/19/2022 12:00:00 AM,0:50,SAT,02/19/2022 12:00:00 AM,0:50,PL,DISOBEY MANDATE EXC  JL 753A-2,33,2155003AM2,No,PERSON DOM VIOLENCE,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22099122,07/15/2022 12:00:00 AM,15,TUE,07/12/2022 12:00:00 AM,15:33,TUE,07/12/2022 12:00:00 AM,16:00,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM MAILBOX,FALSE,Park South,POINT,-73.77321917,42.65419738,12208
APD*22099152,07/15/2022 12:00:00 AM,10,THU,07/14/2022 12:00:00 AM,10:32,THU,07/14/2022 12:00:00 AM,11:54,PL,PETIT LARCENY,6,1552500AM0,No,ALL OTHER LARCENIES,FALSE,West End,POINT,-73.77810409,42.67496958,12206
APD*22070090,05/24/2022 12:00:00 AM,2,TUE,05/24/2022 12:00:00 AM,2:07,TUE,05/24/2022 12:00:00 AM,2:10,PL,BURGLARY 3RD,5,1402000DF3,No,,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22004333,01/10/2022 12:00:00 AM,20,SUN,01/09/2022 12:00:00 AM,20:00,TUE,01/11/2022 12:00:00 AM,21:00,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,Park South,POINT,-73.77321917,42.65419738,12208
APD*22038802,03/22/2022 12:00:00 AM,20,TUE,03/22/2022 12:00:00 AM,20:53,TUE,03/22/2022 12:00:00 AM,20:53,PL,PETIT LARCENY,6,1552500AM0,No,ALL OTHER LARCENIES,FALSE,Washington Square,POINT,-73.77182549,42.66170907,12203
APD*22038746,03/22/2022 12:00:00 AM,0,TUE,02/22/2022 12:00:00 AM,0:00,TUE,03/22/2022 12:00:00 AM,8:00,PL,HARASSMENT 2ND,33,24026030V2,No,PERSON,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22023955,02/19/2022 12:00:00 AM,17,SAT,02/19/2022 12:00:00 AM,17:45,SAT,02/19/2022 12:00:00 AM,17:57,PL,ASLT W/INT CAUSES PHYS INJURY,24,1200001AM3,No,PERSON,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22059731,05/04/2022 12:00:00 AM,16,WED,05/04/2022 12:00:00 AM,16:20,WED,05/04/2022 12:00:00 AM,16:20,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON DOM VIOLENCE,FALSE,Whitehall,POINT,-73.79891651,42.64610782,12209
APD*22070434,05/24/2022 12:00:00 AM,16,TUE,05/24/2022 12:00:00 AM,16:37,TUE,05/24/2022 12:00:00 AM,16:37,PL,PETIT LARCENY,6,1552500AM0,No,ALL OTHER LARCENIES,FALSE,Buckingham Lake,POINT,-73.80777479,42.66435402,12208
APD*22090103,06/29/2022 12:00:00 AM,17,WED,06/29/2022 12:00:00 AM,17:10,WED,06/29/2022 12:00:00 AM,17:15,PL,ASLT W/INT CAUSES PHYS INJURY,24,1200001AM3,No,PERSON,FALSE,Delaware Area,POINT,-73.78088741,42.63990609,12209
APD*22057547,04/30/2022 12:00:00 AM,5,SAT,04/30/2022 12:00:00 AM,5:30,SAT,04/30/2022 12:00:00 AM,5:40,PL,PETIT LARCENY,6,1552500AM0,No,ALL OTHER LARCENIES,FALSE,Delaware Area,POINT,-73.78088741,42.63990609,12209
APD*22038596,03/22/2022 12:00:00 AM,13,TUE,03/22/2022 12:00:00 AM,13:44,TUE,03/22/2022 12:00:00 AM,13:44,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON DOM VIOLENCE,FALSE,Beverwyck,POINT,-73.78222713,42.67006294,12206
APD*22004143,01/09/2022 12:00:00 AM,21,SUN,01/09/2022 12:00:00 AM,21:18,SUN,01/09/2022 12:00:00 AM,21:18,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM BUILDING,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22086055,06/22/2022 12:00:00 AM,11,WED,06/22/2022 12:00:00 AM,11:22,WED,06/22/2022 12:00:00 AM,11:22,PL,HARASSMENT 2ND-PHY CONTACT,33,24026000V2,No,PERSON DOM VIOLENCE,FALSE,No. Albany / Shaker Park,POINT,-73.7452875,42.67282699,12204
APD*22038814,03/22/2022 12:00:00 AM,22,MON,03/21/2022 12:00:00 AM,22:00,TUE,03/22/2022 12:00:00 AM,10:00,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM MOTOR VEHICLE,FALSE,Center Square,POINT,-73.76329474,42.65410976,12210
APD*21168089,12/11/2021 12:00:00 AM,9,THU,12/09/2021 12:00:00 AM,9:45,SAT,12/11/2021 12:00:00 AM,22:35,PL,IDENTITY THEFT 3-ASSUME ANOTHER'S IDENTITY TO OBTAIN GOODS,20,1907801AM3,No,,FALSE,Arbor Hill Concerned Citizens,POINT,-73.75322583,42.66222004,12207
APD*22023785,02/19/2022 12:00:00 AM,11,SAT,02/19/2022 12:00:00 AM,11:00,SAT,02/19/2022 12:00:00 AM,11:00,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON DOM VIOLENCE,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22009890,01/21/2022 12:00:00 AM,17,FRI,01/21/2022 12:00:00 AM,17:50,FRI,01/21/2022 12:00:00 AM,17:50,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22086319,06/22/2022 12:00:00 AM,19,WED,06/22/2022 12:00:00 AM,19:20,WED,06/22/2022 12:00:00 AM,19:20,PL,ASLT W/INT CAUSES PHYS INJURY,24,1200001AM3,No,PERSON DOM VIOLENCE,FALSE,Hudson Park,POINT,-73.76602553,42.65100307,12210
APD*22044315,04/03/2022 12:00:00 AM,11,SUN,04/03/2022 12:00:00 AM,11:06,SUN,04/03/2022 12:00:00 AM,11:17,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,Park South,POINT,-73.77321917,42.65419738,12208
APD*22098664,07/15/2022 12:00:00 AM,0,FRI,07/15/2022 12:00:00 AM,0:35,FRI,07/15/2022 12:00:00 AM,0:40,PL,GRAND LARCENY 3 VALUE GREATER THAN $3000,7,1553500DF3,No,MOTOR VEHICLE THEFT,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22070603,05/24/2022 12:00:00 AM,22,TUE,05/24/2022 12:00:00 AM,22:05,TUE,05/24/2022 12:00:00 AM,22:10,PL,MENACING-2ND - WEAPON,4,1201401AM2,No,,FALSE,Arbor Hill Concerned Citizens,POINT,-73.75322583,42.66222004,12207
APD*22107839,07/31/2022 12:00:00 AM,22,SUN,07/31/2022 12:00:00 AM,22:25,SUN,07/31/2022 12:00:00 AM,22:26,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON DOM VIOLENCE,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22038532,03/22/2022 12:00:00 AM,11,TUE,03/22/2022 12:00:00 AM,11:39,TUE,03/22/2022 12:00:00 AM,11:39,PL,MENACING-2ND - WEAPON,4,1201401AM2,No,DOMESTIC VIOLENCE RELATED,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22078148,06/07/2022 12:00:00 AM,9,FRI,04/01/2022 12:00:00 AM,9:00,TUE,06/07/2022 12:00:00 AM,10:00,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22107461,07/31/2022 12:00:00 AM,0,SUN,07/31/2022 12:00:00 AM,0:25,SUN,07/31/2022 12:00:00 AM,0:32,PL,HARASSMENT 2ND-PHY CONTACT,33,24026000V2,No,PERSON DOM VIOLENCE,FALSE,Mansion,POINT,-73.7586478,42.64515202,12202
APD*22043968,04/02/2022 12:00:00 AM,14,SAT,04/02/2022 12:00:00 AM,14:45,SAT,04/02/2022 12:00:00 AM,14:54,PL,GRAND LARCENY  AUTO OVER $100,7,1553008EF4,No,MOTOR VEHICLE THEFT,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22070140,05/24/2022 12:00:00 AM,6,SUN,05/22/2022 12:00:00 AM,6:15,SUN,05/22/2022 12:00:00 AM,6:45,PL,PETIT LARCENY,6,1552500AM0,No,ALL OTHER LARCENIES,FALSE,The Dunes,POINT,-73.86321786,42.7057702,12203
